id,aggregated_rating,aggregated_rating_count,first_release_date,rating,rating_count,game_type,positive_reviews,negative_reviews,review_count,normalized,genre_2,genre_4,genre_5,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_24,genre_25,genre_26,genre_30,genre_31,genre_32,genre_33,genre_34,genre_35,genre_36,theme_1,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,theme_27,theme_28,theme_31,theme_32,theme_33,theme_34,theme_35,theme_38,theme_39,theme_40,theme_41,theme_42,theme_43,theme_44,game_mode_1,game_mode_2,game_mode_3,game_mode_4,game_mode_5,game_mode_6,perspective_1,perspective_2,perspective_3,perspective_4,perspective_5,perspective_6,perspective_7
305152,87.0,5,1745452800,91.54098967790729,791.0,0,0.000852163175577,0.000236141703458,0.000765540849142,0.8049958895551196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1335,85.0,2,1351555200,77.84215548593593,30.0,0,8.991293881e-05,9.4731264759e-05,9.0590471368e-05,-0.05319040866163901,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72,92.44444444444444,9,1303084800,91.32830123643588,4309.0,0,0.003432488817344,0.000278260832045,0.002988954657321,1.0568710217783457,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
71,80.0,1,1191974400,86.39788545107413,3883.0,0,0.001404204711552,0.000133221970161,0.001225484509578,1.0377620910869716,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
836,84.22222222222223,7,1068508800,81.86327898827209,750.0,0,3.0840129989e-05,3.1233859033e-05,3.0895494497e-05,-0.012744095299515784,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25081,81.0,11,1479772800,76.23631882368839,109.0,9,0.000112248766565,9.5270624963e-05,0.000109861372309,0.15454999194927502,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1968,80.875,13,1377820800,84.60541266044137,643.0,11,7.2158202165e-05,5.1435350276e-05,6.9244242632e-05,0.2992822011202888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
28552,84.33333333333333,18,1522022400,75.7315141061563,837.0,0,0.001126234372392,0.001622983883819,0.001196085181629,-0.4155611466807085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
26196,78.0,18,1498780800,81.81478747936241,359.0,3,0.000133998920676,6.5311617319e-05,0.000124340403428,0.5524477296053767,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
141543,83.0,8,1629072000,73.43007872045511,131.0,0,0.000157730737665,8.6199567002e-05,0.00014767232786,0.48442692789458713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
107262,82.58333333333333,12,1588204800,80.17320335729372,196.0,0,0.000133316971912,6.3644503964e-05,0.000123519924998,0.564093370600392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
107141,70.0,3,1573603200,76.37045043639996,36.0,0,3.6552453754e-05,4.035394974e-05,3.7087003995e-05,-0.10250400596190534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36595,77.42857142857143,7,1604966400,89.7179882752237,13.0,0,4.0010335134e-05,2.0740851446e-05,3.7300742073e-05,0.5166074988822996,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
135999,88.6,10,1589414400,91.24537903162349,75.0,10,6.0396591716e-05,1.9809229277e-05,5.4689368969e-05,0.7421638435892569,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
194741,78.66666666666667,3,1669075200,72.01483202092736,11.0,0,3.4723226481e-05,4.8003058074e-05,3.6590580071e-05,-0.36293697788120477,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
885,85.25,4,1287532800,82.5378872848288,827.0,0,0.0002693376701,9.4289970048e-05,0.000244723205017,0.7153760440633876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
